video_id,title,description,published_at,channel_title,channel_id,view_count,like_count,favorite_count,comment_count
adFdTnv0-O8,Data Engineering is better than AI Engineering in 2025,Join the free boot camp here: https://learn.dataexpert.io The code for this lab is found here: ...,2025-09-05 20:06:29+00:00,Data with Zach,UCAq9f7jFEA7Mtl3qOZy2h1A,27479,1040,0,90
JUws0cMnL78,What Does a Data Engineer Do? Explained Simply,Combo Package Python + SQL + Data warehouse (Snowflake) + Apache Spark: ...,2024-05-19 13:00:27+00:00,Darshil Parmar,UCChmJrVa8kDg05JfCmxpLRw,70113,1723,0,93
PUZ-Y3xcO-k,Don&#39;t Become a Data Engineer if,What are some other reasons to not become a data engineer? #dataanalyst #datascientist #dataengineer #learntocode #swe ...,2024-08-27 14:10:55+00:00,Sundas Khalid,UCteRPiisgIoHtMgqHegpWAQ,477275,8581,0,277
SDPKsYBBQD4,Fastest Way to Become a Self Taught Data Engineer and Get a Job,Top Pick Data Engineer SQL Course: https://datacamp.pxf.io/6y9NgG Top Pick Data Engineer Python Course: ...,2025-09-06 05:30:25+00:00,Jash Radia,UCWegChjG2YNdVMobQEMxolQ,55737,2449,0,115
ZRz-7E-7X7c,Fundamentals of Data Engineering Masterclass (From SCRATCH!),Fundamentals of Data Engineering Masterclass | Data Engineering Full Course | Data Engineering Bootcamp What You'll Learn ...,2024-11-17 13:00:39+00:00,Ansh Lamba,UCu7lQE-L5gzt8aD7zuuufjw,103388,2673,0,411
VSxF0bb-JH4,How I would learn Data Engineering (if I could start over),"In this video, I'll share my step-by-step process on how I would learn Data Engineering if I could start over. Data Engineering is a ...",2023-05-10 17:51:59+00:00,jayzern,UCF931z8s2EvB67ZIBnLN6gA,451954,18499,0,364
vFMmtQCaX0I,Data Engineer vs Data Analyst vs Data Scientist - which is better?,"Join my Academy, learn Data & AI skills and land a job   https://analyticsautomation.academy/ Data Analysts, Data Scientists and ...",2025-04-09 13:15:09+00:00,Lore So What,UCtoNXlIegvxkvf5Ji8S57Ag,138733,4029,0,241
Vh0qcDerBMc,How I’d Learn Python for Data Engineering in 2025 (Step-by-Step),Free Python Course* : https://www.youtube.com/playlist?list=PLNcg_FV9n7qZGfFl2ANI_zISzNp257Lwn *Subscribe* ...,2025-06-27 12:24:39+00:00,Data with Baraa,UC8_RSKwbU1OmZWNEoLV1tQg,73631,3743,0,72
bWIZqtlcnnY,What Is Data Engineering | Data Engineering Explained | How To Become A Data Engineer | Intellipaat,Intellipaat Data Engineering course: https://intellipaat.com/pgp-data-engineering-mit-job-guarantee/ #WhatIsDataEngineering ...,2022-05-17 08:00:13+00:00,Intellipaat,UCCktnahuRFYIBtNnKT5IYyg,116958,1511,0,20
agZQ4B4pQbE,Data Engineers… Stop Ignoring THIS Skill! 🚨,Subscribe: http://bit.ly/3GiCVUE *If You Need Certifications* Udemy SQL: https://bit.ly/4hH947P Udemy Tableau: ...,2025-08-22 14:29:39+00:00,Data with Baraa,UC8_RSKwbU1OmZWNEoLV1tQg,27600,1531,0,87
