video_id,title,description,published_at,channel_title,channel_id,view_count,like_count,favorite_count,comment_count,duration,duration_seconds
qWru-b6m030,How Data Engineering Works,"So, the sole purpose of data engineering is to take data from the source and save it to make it available for analysis. Sounds ...",2021-03-17 13:43:16+00:00,AltexSoft,UCEKI_F16hUtBHcw9tBtr24Q,538774,24075,0,638,PT14M14S,854
hTjo-QVWcK0,What Does a Data Engineer ACTUALLY Do?,Data Engineer Certificate: https://imp.i384100.net/ibm-data-engineer SQL Certification: https://datacamp.pxf.io/EEyy9n ...,2023-11-07 11:57:18+00:00,Learn with Lukas,UCw_LFe2pS8x3NyipGNJgeEA,150944,2436,0,29,PT5M2S,302
PHsC_t0j1dU,Data Engineering Course for Beginners,"Learn the essentials of data engineering in this course for beginners. You'll learn about Databases, Docker, and analytical ...",2024-01-16 15:22:46+00:00,freeCodeCamp.org,UC8butISFwT-Wl7EV0hUK0BQ,961124,14481,0,388,PT3H3M43S,11023
eUrwxH9as_k,Data Engineers vs Data Analysts vs Data Scientists | What&#39;s right for you?,Data Analysis Lab - Build Your Data Portfolio in 30 DAYS: https://www.skool.com/data-analysis-lab How I Built 50+ Data Projects ...,2023-10-15 12:38:26+00:00,Mo Chen,UCDybamfye5An6p-j1t2YMsg,90666,3848,0,126,PT7M40S,460
aSHg22oEGIs,The 2025 data engineering roadmap,,2025-06-16 19:26:17+00:00,Data with Zach,UCAq9f7jFEA7Mtl3qOZy2h1A,113154,6291,0,1269,PT1M20S,80
_eMnqdrZx_Q,The four levels of data engineering!,Check out https://www.dataexpert.io/questions for free SQL practices on a data lake!,2024-03-24 00:37:19+00:00,Data with Zach,UCAq9f7jFEA7Mtl3qOZy2h1A,257502,14564,0,128,PT59S,59
U8LV-N5aMxw,Is Data Engineering the New Best Job?,Best Courses for Analytics: --------------------------------------------------------------------------------------------------------- + IBM Data Science ...,2023-09-03 11:54:11+00:00,Greg Hogg,UCJublDh2UsiIKsAE1553miw,199761,4216,0,76,PT34S,34
hf2go3E2m8g,Fundamentals Of Data Engineering Masterclass,Check Out My Data Engineering Bootcamp: https://datavidhya.com/combo-pack USE CODE: COMBO50 for a 50% discount One ...,2024-08-18 13:05:41+00:00,Darshil Parmar,UCChmJrVa8kDg05JfCmxpLRw,364339,12042,0,682,PT3H2M26S,10946
CEGN-LbiX4Y,If I Started Over As A Data Engineer… 2025 Version!,Unlock your data engineering career in 2025 with this step-by-step blueprint! Whether you're just starting out or looking to level up ...,2025-08-06 13:15:02+00:00,The Data Engineering Channel,UCxti3udEHVCZLs4NYkUeEEw,28547,1490,0,180,PT8M34S,514
odZHmYgebbw,How I would learn Data Engineering in 2025 (if I could start over) – Built by a Data Engineer,"Notion Data Engineering Roadmap* : https://www.notion.so/templates/data-engineering-roadmap-125 Subscribe, Like, and ...",2025-05-13 12:26:36+00:00,Data with Baraa,UC8_RSKwbU1OmZWNEoLV1tQg,235240,10054,0,643,PT22M47S,1367
T23Bs75F7ZQ,Data Engineering with Python and AI/LLMs – Data Loading Tutorial,Master data ingestion for data engineering with Python. Learn to tackle common pipeline failures like schema changes and API ...,2025-04-16 17:39:21+00:00,freeCodeCamp.org,UC8butISFwT-Wl7EV0hUK0BQ,133977,3085,0,42,PT3H48M41S,13721
8B-OuRv8Oi8,The structure of a data engineering interview,,2025-06-07 04:05:13+00:00,Data with Zach,UCAq9f7jFEA7Mtl3qOZy2h1A,22670,1109,0,19,PT2M23S,143
MXf4EKQxN4E,How I Would become a Data Engineer FAST(if I could start over in 2025) #dataengineering,Full deep-dive roadmap* : https://youtu.be/odZHmYgebbw *Notion Roadmap* ...,2025-05-15 14:17:51+00:00,Data with Baraa,UC8_RSKwbU1OmZWNEoLV1tQg,79059,4084,0,49,PT1M,60
JUws0cMnL78,What Does a Data Engineer Do? Explained Simply,Combo Package Python + SQL + Data warehouse (Snowflake) + Apache Spark: ...,2024-05-19 13:00:27+00:00,Darshil Parmar,UCChmJrVa8kDg05JfCmxpLRw,70207,1724,0,93,PT10M39S,639
4FcG_ocJ41Y,Is It Time to Say Goodbye to Data Engineers? - The Data Engineering Dilemma,"Ever since tools like SSIS came onto the scene, vendors and business leaders have been on a mission to remove what they see ...",2025-02-19 15:56:51+00:00,Seattle Data Guy,UCmLGJ3VYBcfRaWbP6JLJcpA,56535,974,0,133,PT11M6S,666
adFdTnv0-O8,Data Engineering is better than AI Engineering in 2025,Join the free boot camp here: https://learn.dataexpert.io The code for this lab is found here: ...,2025-09-05 20:06:29+00:00,Data with Zach,UCAq9f7jFEA7Mtl3qOZy2h1A,27669,1044,0,90,PT9M15S,555
SDPKsYBBQD4,Fastest Way to Become a Self Taught Data Engineer and Get a Job,Top Pick Data Engineer SQL Course: https://datacamp.pxf.io/6y9NgG Top Pick Data Engineer Python Course: ...,2025-09-06 05:30:25+00:00,Jash Radia,UCWegChjG2YNdVMobQEMxolQ,56476,2480,0,115,PT10M49S,649
iA7VhITxO9w,Top 5 Courses every Data Engineer must take to stay ahead in 2025 #dataengineering #dataengineers,"Recommended Courses & Resource ""All links are mentioned in the extended description of this video."" Check out Full Videos for ...",2025-09-10 12:52:00+00:00,Data With Pranjal,UCUTDd3ieNmKDtHu4VJAsNZA,37502,1732,0,20,PT28S,28
